country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,activecases,serious_critical,tot_cases_1m_pop
China,"81,054",+46,"3,261",+6,"72,440","5,353","1,845",56
Italy,"53,578","+6,557","4,825",+793,"6,072","42,681","2,857",886
Spain,"25,496","+3,925","1,381",+288,"2,125","21,990","1,612",545
USA,"24,207","+4,824",302,+46,176,"23,729",637,73
Germany,"22,364","+2,516",84,+16,209,"22,071",2,267
Iran,"20,610",+966,"1,556",+123,"7,635","11,419",,245
France,"14,459","+1,847",562,+112,"1,587","12,310","1,525",222
S. Korea,"8,799",+147,102,+8,"2,612","6,085",59,172
Switzerland,"6,863","+1,248",80,+24,131,"6,652",141,793
UK,"5,018","+1,035",233,+56,93,"4,692",20,74
Netherlands,"3,631",+637,136,+30,2,"3,493",354,212
Austria,"2,992",+343,8,+2,9,"2,975",15,332
Belgium,"2,815",+558,67,+30,263,"2,485",288,243
Norway,"2,164",+205,7,,6,"2,151",28,399
Sweden,"1,770",+131,20,+4,16,"1,734",71,175
Canada,"1,328",+241,19,+7,14,"1,295",1,35
Denmark,"1,326",+71,13,+4,1,"1,312",42,229
Portugal,"1,280",+260,12,+6,5,"1,263",26,126
Malaysia,"1,183",+153,8,+5,114,"1,061",26,37
Brazil,"1,178",+208,18,+7,2,"1,158",18,6
Australia,"1,072",+144,7,,46,"1,019",2,42
Japan,"1,054",+47,36,+1,215,803,55,8
Czechia,995,+162,,,6,989,7,93
Turkey,947,+277,21,+12,,926,,11
Israel,883,+178,1,,36,846,15,102
Ireland,785,+102,3,,5,777,13,159
Diamond Princess,712,,8,,567,137,15,
Luxembourg,670,+186,8,+3,6,656,3,"1,070"
Pakistan,645,+144,3,,13,629,,3
Chile,537,+103,1,+1,8,528,7,28
Poland,536,+111,5,,13,518,3,14
Ecuador,532,+106,7,,3,522,2,30
Greece,530,+35,13,+3,19,498,18,51
Finland,523,+73,1,+1,10,512,2,94
Qatar,481,+11,,,27,454,6,167
Iceland,473,+64,1,+1,5,467,1,"1,386"
Indonesia,450,+81,38,+6,20,392,,2
Singapore,432,+47,2,+2,140,290,14,74
Thailand,411,+89,1,,44,366,7,6
Saudi Arabia,392,+48,,,16,376,,11
Slovenia,383,+42,1,,,382,12,184
Romania,367,+59,,,52,315,14,19
India,332,+83,5,,23,304,,0.2
Peru,318,+55,5,+1,1,312,5,10
Bahrain,310,+12,1,,125,184,4,182
Philippines,307,+77,19,+1,13,275,1,3
Russia,306,+53,1,,16,289,,2
Estonia,306,+23,,,2,304,,231
Egypt,294,+9,10,+2,42,242,,3
Hong Kong,274,+18,4,,100,170,4,37
Panama,245,+45,3,+2,1,241,7,57
South Africa,240,+38,,,2,238,,4
Lebanon,230,+53,4,,8,218,4,34
Iraq,214,+6,17,,51,146,,5
Croatia,206,+76,1,,5,200,,50
Mexico,203,+39,2,+1,4,197,1,2
Colombia,196,+51,,,1,195,,4
Slovakia,178,+41,,,7,171,2,33
Kuwait,176,+17,,,27,149,5,41
Serbia,171,+36,1,,2,168,4,20
Bulgaria,163,+36,3,,3,157,3,23
San Marino,160,+9,20,+6,4,136,12,"4,715"
Armenia,160,+24,,,1,159,2,54
Argentina,158,,4,+1,3,151,,3
Taiwan,153,+18,2,,28,123,,6
UAE,153,+13,2,,38,113,2,15
Algeria,139,+45,15,+4,65,59,,3
Latvia,124,+13,,,1,123,,66
Costa Rica,117,+4,2,,2,113,2,23
Dominican Republic,112,+40,3,+1,,109,,10
Uruguay,110,,,,,110,3,32
Hungary,103,+18,4,,7,92,6,11
Jordan,100,+16,,,1,99,,10
Lithuania,99,+30,1,,1,97,1,36
Morocco,96,+10,3,,3,90,1,3
Vietnam,94,+3,,,17,77,2,1.0
Bosnia and Herzegovina,93,+4,1,+1,2,90,1,28
Faeroe Islands,92,+12,,,3,89,,"1,883"
Andorra,88,+13,,,1,87,2,"1,139"
North Macedonia,85,+9,,,1,84,1,41
Cyprus,84,+9,1,+1,3,80,3,70
Brunei,83,+5,,,1,82,2,190
Moldova,80,+14,1,,1,78,3,20
Sri Lanka,77,+4,,,3,74,2,4
Albania,76,+6,2,,2,72,2,26
Belarus,76,+7,,,15,61,,8
Malta,73,+9,,,2,71,1,165
Venezuela,70,+5,,,15,55,2,2
Burkina Faso,64,+24,3,+2,5,56,,3
Tunisia,60,+6,1,,1,58,7,5
Guadeloupe,56,+5,1,,,55,4,140
Senegal,56,+9,,,5,51,,3
Kazakhstan,54,+2,,,,54,,3
Azerbaijan,53,+9,1,,11,41,,5
Cambodia,53,+2,,,2,51,,3
Palestine,53,+5,,,17,36,,10
New Zealand,52,,,,,52,,11
Oman,52,+4,,,13,39,,10
Georgia,49,+5,,,1,48,1,12
Trinidad and Tobago,49,+40,,,,49,,35
Ukraine,47,+6,3,,1,43,,1
Réunion,47,+9,,,,47,,52
Uzbekistan,41,+8,,,,41,,1
Cameroon,40,+13,,,2,38,,2
Martinique,37,+5,1,,,36,7,99
Liechtenstein,37,+9,,,,37,,970
Channel Islands,32,+20,,,,32,,184
Bangladesh,24,+4,2,+1,3,19,,0.1
Afghanistan,24,,,,1,23,,0.6
Honduras,24,,,,,24,,2
DRC,23,+5,1,+1,,22,,0.3
Paraguay,22,+4,1,+1,,21,1,3
Nigeria,22,+10,,,1,21,,0.1
Cuba,21,,1,,,20,,2
Ghana,21,+5,1,+1,,20,,0.7
Puerto Rico,21,+7,1,+1,,20,,7
Jamaica,19,,1,,2,16,,6
Macao,19,+2,,,10,9,,29
Bolivia,19,+3,,,,19,,2
Guyana,18,+3,1,,,17,,23
Monaco,18,+7,,,1,17,,459
French Guiana,18,+3,,,,18,,60
Guatemala,17,+5,1,,,16,,0.9
Rwanda,17,,,,,17,,1
Montenegro,16,+2,,,,16,,25
Togo,16,+7,,,,16,,2
French Polynesia,15,+4,,,,15,,53
Guam,15,+1,,,,15,,89
Mauritius,14,+2,1,+1,,13,,11
Barbados,14,+8,,,,14,,49
Ivory Coast,14,+5,,,1,13,,0.5
Kyrgyzstan,14,+8,,,,14,,2
Maldives,13,,,,3,10,,24
Mayotte,11,+4,,,,11,,40
Gibraltar,10,,,,2,8,,297
Mongolia,10,+4,,,,10,,3
Ethiopia,9,,,,,9,,0.08
Kenya,7,,,,,7,,0.1
Seychelles,7,,,,,7,,71
Equatorial Guinea,6,,,,,6,,4
Tanzania,6,,,,,6,,0.1
U.S. Virgin Islands,6,+3,,,,6,,57
Gabon,5,+1,1,,,4,,2
Aruba,5,,,,1,4,,47
Saint Martin,5,+1,,,,5,,129
Suriname,5,+1,,,,5,,9
Bahamas,4,,,,,4,,10
New Caledonia,4,+2,,,,4,,14
Cayman Islands,3,,1,,,2,,46
Curaçao,3,,1,,,2,,18
Cabo Verde,3,+2,,,,3,,5
CAR,3,,,,,3,,0.6
Congo,3,,,,,3,,0.5
El Salvador,3,+2,,,,3,,0.5
Liberia,3,+1,,,,3,,0.6
Madagascar,3,,,,,3,,0.1
Namibia,3,,,,,3,,1
St. Barth,3,,,,,3,,304
Zimbabwe,3,+2,,,,3,,0.2
Sudan,2,,1,,,1,,0.05
Angola,2,+1,,,,2,,0.06
Benin,2,,,,,2,,0.2
Bermuda,2,,,,,2,,32
Bhutan,2,,,,,2,,3
Fiji,2,+1,,,,2,,2
Greenland,2,,,,,2,,35
Guinea,2,,,,,2,,0.2
Haiti,2,,,,,2,,0.2
Isle of Man,2,,,,,2,,24
Mauritania,2,,,,,2,,0.4
Nicaragua,2,,,,,2,,0.3
Saint Lucia,2,,,,,2,,11
Zambia,2,,,,,2,,0.1
Nepal,1,,,,1,0,,0.03
Antigua and Barbuda,1,,,,,1,,10
Chad,1,,,,,1,,0.06
Djibouti,1,,,,,1,,1
Eritrea,1,+1,,,,1,,0.3
Gambia,1,,,,,1,,0.4
Vatican City,1,,,,,1,,"1,248"
Montserrat,1,,,,,1,,200
Niger,1,,,,,1,,0.04
Papua New Guinea,1,,,,,1,,0.1
St. Vincent Grenadines,1,,,,,1,,9
Sint Maarten,1,,,,,1,,23
Somalia,1,,,,,1,,0.06
Eswatini,1,,,,,1,,0.9
Timor-Leste,1,+1,,,,1,,0.8
Uganda,1,+1,,,,1,,0.02
